id_bondecommande;bdc_date;bdc_refclient;bdc_ref;bdc_accordclient;bdc_turnoverinvoicedexcludtax;bdc_turnoverorderedexcludtax;bdc_deltainvoicedexcludtax;bdc_etat;id_respuser;id_projet;bdc_typreglement;bdc_condreglement;bdc_typepayment
3529;2023-12-31;A VENIR SOUSC SAC;BM1000000003529;0;0.0;0.0;0.0;1;1458;1516;schedule;61;0
3632;2023-11-28;A VENIR;BM1000000003632;0;0.0;5000.0;-5000.0;1;52;1434;schedule;2;0
3286;2023-11-14;1406074134;BM1000000003286;1;0.0;6474.0;-6474.0;1;64;1511;schedule;4;0
3785;2023-09-18;A VENIR;BM1000000003785;0;0.0;32092.35;-32092.35;1;52;1580;schedule;91;0
3784;2023-09-18;2023000756;BM1000000003784;1;0.0;23953.8;-23953.8;1;64;1580;schedule;91;0
3783;2023-09-14;ESK0000091;BM1000000003783;1;0.0;19800.0;-19800.0;1;78;1674;monthly;4;0
3782;2023-09-14;22004471;BM1000000003782;1;0.0;28485.6;-28485.6;1;64;1673;schedule;91;0
3763;2023-09-13;JA205054;BM1000000003763;1;2650.0;2650.0;0.0;0;52;1670;schedule;91;0
3781;2023-09-12;4501572600;BM1000000003781;1;0.0;31473.6;-31473.6;1;64;1642;schedule;61;0
3780;2023-09-12;A VENIR;BM1000000003780;0;0.0;43505.16;-43505.16;1;17;1565;monthly;1;0
3779;2023-09-12;1406301462;BM1000000003779;1;0.0;3735.0;-3735.0;1;64;1650;schedule;91;0
3777;2023-09-08;En attente Commande;BM1000000003777;1;0.0;258.0;-258.0;1;1291;1672;schedule;1;0
3776;2023-09-08;1406289116;BM1000000003776;1;0.0;468792.3;-468792.3;1;52;1598;schedule;2;0
3775;2023-09-08;A VENIR;BM1000000003775;0;0.0;40824.0;-40824.0;1;52;580;monthly;52;0
3774;2023-09-08;A VENIR;BM1000000003774;0;0.0;35910.0;-35910.0;1;52;580;monthly;52;0
3773;2023-09-08;2023003742 FO;BM1000000003773;1;0.0;5976.0;-5976.0;1;52;1219;schedule;91;0
3772;2023-09-08;2023003672;BM1000000003772;1;0.0;54381.6;-54381.6;1;52;1219;schedule;91;0
3771;2023-09-08;20230003669;BM1000000003771;1;0.0;41433.6;-41433.6;1;52;1219;schedule;91;0
3770;2023-09-07;1406275071;BM1000000003770;1;0.0;66682.2;-66682.2;1;52;1259;schedule;91;0
3769;2023-09-07;PU23001963;BM1000000003769;1;20000.0;20000.0;0.0;0;12;1256;schedule;61;0
3768;2023-09-07;PU23001961;BM1000000003768;1;27888.0;27888.0;0.0;0;12;1256;schedule;61;0
3767;2023-09-07;PU23001962;BM1000000003767;1;27223.0;27223.0;0.0;0;12;1256;schedule;61;0
3766;2023-09-06;IN230479;BM1000000003766;1;0.0;4250.0;-4250.0;1;52;1112;schedule;91;0
3765;2023-09-06;BC23/P23/1015/06279;BM1000000003765;1;0.0;5160.0;-5160.0;1;52;1625;schedule;1;0
3764;2023-09-06;A VENIR;BM1000000003764;0;0.0;7926.15;-7926.15;1;52;754;schedule;2;0
3655;2023-09-06;NE-20231492;BM1000000003655;1;28083.0;28083.0;0.0;1;161;907;schedule;1;0
3778;2023-09-05;2023D15559;BM1000000003778;1;12499.49;12499.49;0.0;1;52;826;schedule;91;0
3761;2023-09-05;A VENIR;BM1000000003761;0;0.0;0.0;0.0;1;52;1671;schedule;61;0
3760;2023-09-05;SE23072258 FO 02;BM1000000003760;1;0.0;1350.0;-1350.0;1;52;1666;schedule;52;0
3759;2023-09-05;SE23072258 FO 01;BM1000000003759;1;0.0;2700.0;-2700.0;1;52;1666;schedule;52;0
3757;2023-09-04;23-000347;BM1000000003757;1;6505.42;6505.42;0.0;1;52;725;schedule;2;0
3756;2023-09-04;PJCDE2304935;BM1000000003756;1;4004.45;4004.45;0.0;1;52;927;schedule;1;0
3755;2023-09-04;4300342441;BM1000000003755;1;900.0;900.0;0.0;0;52;1599;schedule;4;0
3708;2023-09-04;1406269467 pc08;BM1000000003708;1;0.0;32568.92;-32568.92;1;64;1320;schedule;91;0
3753;2023-08-30;A VENIR;BM1000000003753;0;0.0;7843.5;-7843.5;1;64;1488;schedule;2;0
3752;2023-08-30;A VENIR;BM1000000003752;0;0.0;7843.5;-7843.5;1;64;1488;schedule;2;0
3751;2023-08-29;Hébergement GCP 2023-2024;BM1000000003751;1;800.0;8000.0;-7200.0;1;12;1667;schedule;1;0
3750;2023-08-29;SE22091864 PC03;BM1000000003750;1;4225.0;8450.0;-4225.0;1;12;1386;schedule;1;0
3749;2023-08-29;LY2305016;BM1000000003749;1;3080.0;26400.0;-23320.0;1;12;1310;monthly;1;0
3748;2023-08-29;NON FACTUREE;BM1000000003748;1;0.0;0.0;0.0;1;64;1631;schedule;91;0
3747;2023-08-21;4501737508;BM1000000003747;1;3187.2;3187.2;0.0;0;17;1603;schedule;91;0
3746;2023-08-18;00004650;BM1000000003746;1;733.33;733.33;0.0;1;17;1665;schedule;1;0
3745;2023-08-18;00004650;BM1000000003745;1;20000.0;20000.0;0.0;1;17;1664;schedule;1;0
3744;2023-08-11;A VENIR (REPORTING);BM1000000003744;0;0.0;38487.8;-38487.8;1;299;1547;schedule;52;0
3743;2023-08-09;A VENIR;BM1000000003743;0;0.0;14630.0;-14630.0;1;52;1404;monthly;4;0
3742;2023-08-09;4300342798;BM1000000003742;1;0.0;8205.0;-8205.0;1;52;1663;schedule;4;0
3741;2023-08-09;1406275481;BM1000000003741;1;0.0;86622.12;-86622.12;1;52;1662;schedule;91;0
3740;2023-08-09;MLD-23-0655;BM1000000003740;1;2660.0;6650.0;-3990.0;1;52;1404;monthly;4;0
3739;2023-08-09;GIE-23-0695;BM1000000003739;1;665.0;6650.0;-5985.0;1;52;1404;monthly;4;0
3758;2023-08-08;XC 83114 /F5617E;BM1000000003758;1;1987.87;1987.87;0.0;1;52;772;schedule;61;0
3738;2023-08-08;1200168;BM1000000003738;1;5600.0;10880.0;-5280.0;1;1291;1620;monthly;61;0
3736;2023-08-08;A VENIR;BM1000000003736;0;0.0;9000.0;-9000.0;1;52;1599;schedule;4;0
3735;2023-08-08;4300342210;BM1000000003735;1;1800.0;1800.0;0.0;0;52;1599;schedule;4;0
3734;2023-08-07;B012023CF06101;BM1000000003734;1;9870.0;10340.0;-470.0;1;52;993;monthly;4;0
3588;2023-08-07;4300342207;BM1000000003588;1;1350.0;1350.0;0.0;0;52;1599;schedule;4;0
3733;2023-08-04;2023000478 - 26 - CH Fanny Ramadier;BM1000000003733;1;0.0;3700.0;-3700.0;1;9;1459;schedule;1;0
3732;2023-08-04;2023000477 - 27 - CH La Mure;BM1000000003732;1;0.0;4070.0;-4070.0;1;9;1459;schedule;1;0
3731;2023-08-04;2023000474 - 23 - HOPITAL SAINT JACQUES;BM1000000003731;1;0.0;7030.0;-7030.0;1;9;1459;schedule;1;0
3730;2023-08-04;2023000472 - 18 - CH Autun;BM1000000003730;1;0.0;1850.0;-1850.0;1;9;1459;schedule;1;0
3729;2023-08-04;2023000471 - 17 - CH Chalon;BM1000000003729;1;0.0;1480.0;-1480.0;1;9;1459;schedule;1;0
3728;2023-08-04;2023000470 - 16 - CHS Saint Ylie;BM1000000003728;1;0.0;4440.0;-4440.0;1;9;1459;schedule;1;0
3727;2023-08-03;A VENIR;BM1000000003727;0;0.0;13080.0;-13080.0;1;17;1661;schedule;1;0
3726;2023-08-02;1406283517 PC09;BM1000000003726;1;0.0;38843.04;-38843.04;1;52;1320;schedule;91;0
3725;2023-08-02;CE22101899 2SEM 2023;BM1000000003725;1;12311.25;41160.0;-28848.75;1;52;1387;monthly;1;0
3724;2023-08-02;A VENIR;BM1000000003724;0;0.0;12948.0;-12948.0;1;52;1647;schedule;1;0
3723;2023-08-02;COM2302810/2003049M;BM1000000003723;1;0.0;10790.0;-10790.0;1;12;1332;monthly;1;0
3722;2023-08-01;066-55620 / 0;BM1000000003722;1;0.0;6000.0;-6000.0;1;52;1438;monthly;61;0
3721;2023-08-01;1406269590;BM1000000003721;1;0.0;43505.28;-43505.28;1;17;1565;monthly;1;0
3720;2023-07-31;SE23052199 suppl.;BM1000000003720;1;1300.0;1300.0;0.0;0;17;1637;schedule;2;0
3719;2023-07-31;SE23072304;BM1000000003719;1;0.0;4000.0;-4000.0;1;17;1660;schedule;1;0
3718;2023-07-31;SE22111964 PC03;BM1000000003718;1;2640.0;7180.0;-4540.0;1;52;1458;monthly;2;0
3717;2023-07-31;1406277480;BM1000000003717;1;0.0;87399.0;-87399.0;1;52;1174;schedule;91;0
3716;2023-07-31;1406275028;BM1000000003716;1;0.0;46612.8;-46612.8;1;52;1131;schedule;91;0
3754;2023-07-28;1406268161 (juillet-pc04);BM1000000003754;1;342698.7;342698.7;0.0;0;64;1598;schedule;4;0
3715;2023-07-28;1406289285;BM1000000003715;1;0.0;53604.72;-53604.72;1;17;1583;schedule;91;0
3714;2023-07-28;1406289194;BM1000000003714;1;0.0;6474.0;-6474.0;1;17;1584;schedule;91;0
3678;2023-07-28;2023000937;BM1000000003678;1;0.0;23251.62;-23251.62;1;64;1531;schedule;91;0
3713;2023-07-27;SE23072259 Maint.DB2;BM1000000003713;1;1018.2;1018.2;0.0;1;1291;1659;schedule;1;0
3712;2023-07-26;429915;BM1000000003712;1;4800.0;4800.0;0.0;1;52;1509;schedule;61;0
3711;2023-07-26;23LCU00065;BM1000000003711;1;0.0;20700.0;-20700.0;1;1291;1658;schedule;1;0
3710;2023-07-26;1406289417;BM1000000003710;1;0.0;52698.36;-52698.36;1;52;1573;schedule;91;0
3709;2023-07-26;1181390;BM1000000003709;1;13120.0;15000.0;-1880.0;1;9;1477;monthly;61;0
3707;2023-07-25;1406254096;BM1000000003707;1;0.0;52563.9;-52563.9;1;64;1320;schedule;91;0
3706;2023-07-25;2023000476 - 25 - CH de ENSISHEIM;BM1000000003706;1;0.0;3700.0;-3700.0;1;9;1459;schedule;1;0
3705;2023-07-25;2023000475 - 24 - CH de BISCHWILLER;BM1000000003705;1;0.0;7400.0;-7400.0;1;9;1459;schedule;1;0
3704;2023-07-25;2023000473 - 22 - CENTRE HOSPITALIER FERNAND LANGLOIS;BM1000000003704;1;4810.0;4810.0;0.0;0;9;1459;schedule;1;0
3703;2023-07-25;20051192;BM1000000003703;1;900.0;19800.0;-18900.0;1;52;1657;monthly;2;0
3702;2023-07-25;a venir;BM1000000003702;0;0.0;990.0;-990.0;1;52;862;schedule;1;0
3701;2023-07-25;A VENIR;BM1000000003701;1;0.0;9675.0;-9675.0;1;78;1656;monthly;2;0
3700;2023-07-24;S019/202306562;BM1000000003700;1;15000.0;15000.0;0.0;0;1291;1486;schedule;52;0
3699;2023-07-24;1406263896;BM1000000003699;1;0.0;56622.24;-56622.24;1;64;1604;schedule;1;0
3698;2023-07-24;4500004390;BM1000000003698;1;51280.18;59813.98;-8533.800000000003;1;17;1639;monthly;91;0
3697;2023-07-24;a venir;BM1000000003697;0;0.0;40830.72;-40830.72;1;64;1517;monthly;1;0
3696;2023-07-21;4500363738;BM1000000003696;1;2787.87;2787.87;0.0;0;52;384;schedule;1;0
3695;2023-07-20;CDS23-014 BDC-SEENOVATE MCO 2023;BM1000000003695;1;6329.83;6329.83;0.0;1;52;236;schedule;1;0
3694;2023-07-20;1406273067;BM1000000003694;1;0.0;48555.0;-48555.0;1;299;1442;schedule;91;0
3693;2023-07-17;23-000298;BM1000000003693;1;7292.0;7292.0;0.0;0;17;725;schedule;61;0
3692;2023-07-17;23-000298;BM1000000003692;1;85000.0;85000.0;0.0;1;17;1655;schedule;61;0
3691;2023-07-13;Claim: I-60195534;BM1000000003691;1;3400.0;3400.0;0.0;1;17;1654;schedule;1;0
3690;2023-07-13;429915;BM1000000003690;1;400.0;4800.0;-4400.0;1;17;1509;monthly;61;0
3689;2023-07-13;Claim: I-60195530;BM1000000003689;1;800.0;800.0;0.0;1;17;1653;schedule;1;0
3688;2023-07-13;Claim: I-60196760;BM1000000003688;1;4100.0;4100.0;0.0;1;17;1652;schedule;1;0
3658;2023-07-13;1406253643;BM1000000003658;1;0.0;88693.8;-88693.8;1;64;1559;schedule;91;0
3687;2023-07-12;SE23072244PC01;BM1000000003687;1;9805.0;23055.0;-13250.0;1;12;1651;monthly;2;0
3686;2023-07-11;4200039326;BM1000000003686;1;0.0;25348.2;-25348.2;1;64;1519;schedule;91;0
3685;2023-07-11;SE23032109 TMA;BM1000000003685;1;0.0;8145.0;-8145.0;1;52;1595;monthly;1;0
3684;2023-07-11;PO-L6720;BM1000000003684;1;19667.0;29500.0;-9833.0;1;78;1072;schedule;52;0
3683;2023-07-11;B012023CF05474;BM1000000003683;1;8930.0;9400.0;-470.0;0;161;993;monthly;4;0
3682;2023-07-11;CBDC 14181 1;BM1000000003682;1;0.0;3361.5;-3361.5;1;64;1151;schedule;91;0
3681;2023-07-10;BR19100775 - 2023;BM1000000003681;1;650.0;6500.0;-5850.0;1;52;612;monthly;1;0
3680;2023-07-10;66/DGR/PMI/SL/S7730;BM1000000003680;1;2400.0;2400.0;0.0;1;52;759;schedule;61;0
3679;2023-07-10;PO-GDT-2021-PROD;BM1000000003679;1;67221.0;67221.0;0.0;0;52;958;schedule;1;0
3677;2023-07-07;1406243991;BM1000000003677;1;0.0;9337.5;-9337.5;1;52;1650;schedule;91;0
3676;2023-07-07;4200039328;BM1000000003676;1;0.0;25507.56;-25507.56;1;64;1600;schedule;91;0
3675;2023-07-06;T100/202306392;BM1000000003675;1;225.0;27000.0;-26775.0;1;17;1649;monthly;52;0
3674;2023-07-06;066-55279 / 0;BM1000000003674;1;34687.5;58675.0;-23987.5;1;52;1438;monthly;61;0
3673;2023-07-06;066-55280 / 0;BM1000000003673;1;25500.0;34200.0;-8700.0;0;52;1438;monthly;61;0
3668;2023-07-06;SE22011661 Outil Optim.;BM1000000003668;1;12000.0;12000.0;0.0;0;52;1228;monthly;1;0
3667;2023-07-06;SE22011661 Mig. BO;BM1000000003667;1;8500.0;8500.0;0.0;0;52;1228;monthly;1;0
3666;2023-07-06;SE22011661 Mig. BODS;BM1000000003666;1;0.0;5100.0;-5100.0;1;52;1228;monthly;1;0
3665;2023-07-06;A VENIR;BM1000000003665;1;0.0;24601.2;-24601.2;1;64;1515;schedule;2;0
3664;2023-07-05;A VENIR;BM1000000003664;0;0.0;1200.0;-1200.0;1;52;1623;schedule;1;0
3663;2023-07-05;1406262393;BM1000000003663;1;0.0;8590.5;-8590.5;1;52;1152;schedule;91;0
3662;2023-07-05;A VENIR;BM1000000003662;0;0.0;4000.0;-4000.0;1;52;1627;monthly;1;0
3661;2023-07-05;Contrat d'application n° 1 ADE;BM1000000003661;1;26235.0;29700.0;-3465.0;1;52;1619;monthly;52;0
3660;2023-07-05;39800117-AI-00205;BM1000000003660;1;200.0;16800.0;-16600.0;1;161;1646;monthly;52;0
3659;2023-07-05;20 jours offert;BM1000000003659;1;0.0;0.0;0.0;1;64;1333;schedule;1;0
3476;2023-07-05;COL23-36688;BM1000000003476;1;9088.68;9088.68;0.0;1;1458;680;schedule;52;0
3672;2023-07-04;2023000593;BM1000000003672;1;0.0;12300.6;-12300.6;1;64;1648;schedule;1;0
3671;2023-07-04;2023000592;BM1000000003671;1;0.0;33017.4;-33017.4;1;64;1648;schedule;1;0
3670;2023-07-04;2023000591;BM1000000003670;1;0.0;7380.36;-7380.36;1;64;1648;schedule;1;0
3669;2023-07-04;2023000590;BM1000000003669;1;0.0;14242.8;-14242.8;1;64;1648;schedule;1;0
3657;2023-07-04;CF-23-2023-00447-01 - MAIRIE DE LAGNY-SUR-MARNE;BM1000000003657;1;0.0;875.0;-875.0;1;161;638;monthly;1;0
3654;2023-07-03;P094C00470716;BM1000000003654;1;26100.0;26100.0;0.0;0;161;1278;schedule;2;0
3625;2023-07-03;P094C00471742;BM1000000003625;1;1680.0;67200.0;-65520.0;1;161;1213;monthly;2;0
3624;2023-07-03;P094C00471741;BM1000000003624;1;17000.0;74800.0;-57800.0;1;161;1405;monthly;2;0
3623;2023-07-03;P094C00471740;BM1000000003623;1;15000.0;54000.0;-39000.0;1;161;1483;monthly;2;0
3653;2023-06-30;4200039285;BM1000000003653;1;0.0;18127.2;-18127.2;1;64;1645;schedule;91;0
3652;2023-06-30;23-001275;BM1000000003652;1;9805.0;25440.0;-15635.0;1;12;1337;monthly;1;0
3651;2023-06-30;1406247449;BM1000000003651;1;0.0;82120.2;-82120.2;1;64;1557;schedule;91;0
3650;2023-06-30;A VENIR;BM1000000003650;1;0.0;36055.0;-36055.0;1;64;1415;schedule;1;0
3629;2023-06-30;6734OP;BM1000000003629;1;13604.0;17900.0;-4296.0;1;161;945;monthly;61;0
3523;2023-06-30;6736OP;BM1000000003523;1;15192.0;15192.0;0.0;0;52;945;monthly;61;0
3649;2023-06-29;PU23010038;BM1000000003649;1;16800.0;16800.0;0.0;0;12;1109;schedule;61;0
3648;2023-06-29;SE23062240;BM1000000003648;1;550.0;550.0;0.0;0;52;1644;schedule;2;0
3647;2023-06-29;1406209545;BM1000000003647;1;0.0;25896.0;-25896.0;1;64;1598;schedule;4;0
3646;2023-06-29;23LCU00044;BM1000000003646;1;1800.0;1800.0;0.0;0;1291;1643;schedule;1;0
3645;2023-06-29;1406218442;BM1000000003645;1;342698.7;342698.7;0.0;0;64;1598;schedule;4;0
3644;2023-06-29;1406234015;BM1000000003644;1;0.0;57205.26;-57205.26;1;64;1138;schedule;91;0
3643;2023-06-29;1406231923;BM1000000003643;1;19247.7;19247.5;0.2000000000007276;1;64;1631;schedule;91;0
3642;2023-06-29;4501563655;BM1000000003642;1;0.0;31722.8;-31722.8;1;64;1642;schedule;61;0
3641;2023-06-29;4589 MA;BM1000000003641;1;99.0;99.0;0.0;1;161;1635;schedule;1;0
3640;2023-06-29;4589 LI;BM1000000003640;1;720.0;720.0;0.0;1;161;1636;schedule;1;0
3639;2023-06-29;DE20230148861;BM1000000003639;1;4250.0;3750.0;500.0;0;17;1641;schedule;2;0
3638;2023-06-29;4508771183 poste 60;BM1000000003638;1;8723.0;40584.0;-31861.0;1;161;1351;monthly;2;0
3637;2023-06-29;4508822691 poste 20 et 30;BM1000000003637;1;15870.0;42300.0;-26430.0;1;161;989;monthly;2;0
3636;2023-06-29;2022-002-068 av1;BM1000000003636;1;22984.0;32760.0;-9776.0;1;17;1508;monthly;1;0
3635;2023-06-29;2022-002-167 av1;BM1000000003635;1;13832.0;32760.0;-18928.0;1;17;1508;monthly;1;0
3634;2023-06-29;2022-002-173;BM1000000003634;1;24960.0;31200.0;-6240.0;1;17;1508;monthly;1;0
3633;2023-06-29;4508771300 Poste 60;BM1000000003633;1;21376.0;33400.0;-12024.0;1;17;684;monthly;2;0
3631;2023-06-28;SE23032105;BM1000000003631;1;1750.0;1750.0;0.0;0;52;1638;schedule;1;0
3630;2023-06-28;DOUBLON;BM1000000003630;1;0.0;0.0;0.0;1;161;1138;schedule;91;0
3628;2023-06-27;JGS2023-MINF-15;BM1000000003628;1;3657.5;3657.5;0.0;0;52;1404;monthly;4;0
3627;2023-06-27;MLD2023-I13;BM1000000003627;1;2493.75;2493.75;0.0;0;52;1404;monthly;4;0
3626;2023-06-27;MLD2023-I12;BM1000000003626;1;3823.75;3823.75;0.0;0;52;1404;monthly;4;0
3621;2023-06-27;SE23052198-001;BM1000000003621;1;850.0;850.0;0.0;1;52;1628;monthly;1;0
3620;2023-06-26;1406232191;BM1000000003620;1;0.0;7843.5;-7843.5;1;64;1103;schedule;91;0
3619;2023-06-26;BC23/P23/1015/05368;BM1000000003619;1;5120.0;5120.0;0.0;1;368;1625;schedule;1;0
3618;2023-06-26;SE23052199;BM1000000003618;1;6500.0;6500.0;0.0;0;17;1637;schedule;2;0
3656;2023-06-23;2023-00002916;BM1000000003656;1;0.0;5040.0;-5040.0;1;161;1623;schedule;1;0
3622;2023-06-21;4008585;BM1000000003622;1;32378.0;32378.0;0.0;1;52;750;schedule;1;0
3617;2023-06-21;CF-23-2022-04684-02;BM1000000003617;1;99.0;99.0;0.0;1;17;1634;schedule;1;0
3616;2023-06-21;CF-23-2022-04684-02;BM1000000003616;1;765.0;765.0;0.0;1;17;1633;schedule;1;0
3615;2023-06-21;SE23052184 FO02;BM1000000003615;1;1027.5;1027.5;0.0;1;52;1612;schedule;1;0
3614;2023-06-21;120232159 (T);BM1000000003614;1;14250.0;27930.0;-13680.0;1;52;580;monthly;52;0
3613;2023-06-21;120232174 (W);BM1000000003613;1;20736.0;34344.0;-13608.0;1;52;580;monthly;52;0
